No	Word	Clue	Vertical/Horizontal
96	Quiet 	 Not loud very soft 	 V
97	Loud 	 Very noisy and strong 	 H
98	Light 	 Not heavy easy to lift 	 H
99	Heavy 	 Very hard to lift 	 H
100	Clean 	 Not dirty fresh and tidy 	 V
101	Dirty 	 Not clean has dust or mud 	 V
102	New 	 Something fresh that is not old 	 H
103	Old 	 Something from long ago 	 H
104	Begin 	 To start something 	 H
105	Finish 	 To end something 	 H
106	Open 	 To let something come out or in 	 H
107	Close 	 To stop something from opening 	 H
108	Push 	 To move something away 	 H
109	Pull 	 To bring something closer 	 H
110	Go 	 To move from one place to another 	 H
111	Come 	 To move toward someone or something 	 H
112	Stop 	 To not move anymore 	 H
113	Start 	 To begin an action 	 H
114	Yes 	 A word that means agreement 	 H
115	No 	 A word that means disagreement 	 H
116	Maybe 	 Not sure perhaps 	 H
117	Please 	 A polite word to ask for something 	 V
118	Thank 	 A word to show you are grateful 	 V
119	Sorry 	 A word that says you made a mistake 	 V
120	Help 	 To assist someone 	 H
121	Love 	 Strong feeling of liking someone 	 V
122	Like 	 To enjoy something 	 H
123	Want 	 To wish for something 	 H
124	Need 	 Something you must have to live 	 V
125	Have 	 To own or hold something 	 H
126	Can 	 To be able to do something 	 H
127	Will 	 Something you plan to do 	 H
128	Would 	 A polite way to ask or say 	 V
129	Today 	 The current day 	 H
130	Yesterday 	 The day before today 	 V
131	Tomorrow 	 The day after today 	 V
132	Morning 	 The early part of the day 	 V
133	Afternoon 	 The middle of the day after lunch 	 V
134	Evening 	 The part of the day after afternoon 	 V
135	Night 	 The dark part of the day 	 V
136	Day 	 The time when the sun is up 	 H
137	Week 	 Seven days together 	 H
138	Month 	 A longer time (about 30 days) 	 V
139	Year 	 All twelve months together 	 V
140	Time 	 How long something takes 	 H
141	Clock 	 A thing that shows time 	 V
142	Bell 	 A metal sound you hear in school 	 V
143	Door 	 Something you open to enter a room 	 H
144	Window 	 A glass part of a wall to see outside 	 V
145	Wall 	 A solid part of a room 	 H
146	Floor 	 The bottom of a room where you walk 	 V
147	Roof 	 The top of a house 	 H
148	House 	 A place where a family lives 	 V
149	Home 	 A place where you feel safe 	 V
150	Street 	 A road where cars drive 	 H
151	Car 	 A vehicle with four wheels 	 H
152	Bus 	 A big vehicle that carries many people 	 V
153	Bike 	 A two‑wheel vehicle you pedal 	 V
154	Road 	 A path for cars and bikes 	 H
155	Park 	 A place with trees and grass 	 H
156	Playground 	 A place where children play 	 V
157	Slide 	 Something you slide down in the park 	 V
158	Swing 	 Something you go back and forward in the park 	 V
159	Sand 	 Tiny pieces of rock on the beach 	 V
160	Beach 	 A place with sand and sea 	 V
161	Summer 	 A hot season of the year 	 V
162	Winter 	 A cold season of the year 	 V
163	Spring 	 A season between winter and summer 	 V
164	Fall 	 A season when leaves fall from trees 	 V
165	Fog 	 Thick air that is hard to see through 	 V
166	Wind 	 Air that moves around 	 H
167	Leaf 	 A green part of a tree 	 H
168	Flower 	 A colorful plant that grows 	 V
169	Grass 	 Green plants on the ground 	 V
170	Tree 	 A tall plant with leaves and branches 	 V
171	River 	 A long stream of water 	 V
172	Sea 	 A very big area of salt water 	 V
173	Bed 	 A place where you sleep 	 H
174	Room 	 A space inside a house or school 	 H
175	Table 	 A flat surface with legs 	 H
176	Lamp 	 A light in the room 	 V
177	Shoe 	 Something you wear on your feet 	 H
178	Sock 	 A soft cover for your feet 	 H
179	Hat 	 Something you wear on your head 	 H
180	Shirt 	 A piece of clothing for your top 	 H
181	Dress 	 A long piece of clothing for girls 	 V
182	Skirt 	 A piece of clothing for the waist 	 V
183	Pants 	 A piece of clothing for your legs 	 H
184	Coat 	 A warm piece of clothing for cold days 	 V
185	Bag 	 A thing to carry your things 	 H
186	Bell	A metal sound you hear in school	V
187	Lamp	A light in the room	V
188	Hat	Something you wear on your head	H
189	Nest	A small home for birds	V
190	Kite	A toy that flies in the wind	V
191	Moon	A round object in the sky at night	V
192	Sand	Tiny pieces of rock on the beach	V
193	Star	A tiny light in the night sky	V
194	Tree	A tall plant with leaves and branches	V
195	Leaf	A green part of a tree	H
196	Door	Something you open to enter a room	H
197	Room	A space inside a house or school	H
198	Wall	A solid part of a room	H
199	Sky	The space above the earth	V
200	Snow	White cold stuff that falls in winter	V
